Search_method Problem Max_evals Run Score
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 0 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 1 1440
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 2 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 3 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 4 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 5 1440
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 6 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 7 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 8 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 9 1440
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 0 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 1 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 2 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 3 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 4 889
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 5 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 6 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 7 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 8 889
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 9 907
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 0 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 1 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 2 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 3 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 4 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 5 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 6 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 7 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 8 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 9 2893
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 0 4980
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 1 5140
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 2 4780
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 3 4980
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 4 4980
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 5 5100
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 6 4980
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 7 4900
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 8 4940
evolution-algorithm_penalized_score knapPI_11_200_1000_4 1000 9 5060
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 0 3620
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 1 3637
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 2 3663
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 3 3637
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 4 3620
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 5 3637
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 6 3637
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 7 3637
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 8 3637
evolution-algorithm_penalized_score knapPI_13_200_1000_4 1000 9 3637
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 0 14157
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 1 13563
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 2 12624
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 3 13158
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 4 13643
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 5 13536
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 6 13780
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 7 13366
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 8 14766
evolution-algorithm_penalized_score knapPI_16_200_1000_4 1000 9 14174
