Search_method Problem Max_evals Run Score
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 0 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 1 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 2 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 3 1440
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 4 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 5 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 6 1400
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 7 1320
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 8 1440
evolution-algorithm_penalized_score knapPI_11_20_1000_4 1000 9 1400
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 0 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 1 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 2 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 3 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 4 889
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 5 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 6 907
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 7 889
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 8 889
evolution-algorithm_penalized_score knapPI_13_20_1000_4 1000 9 907
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 0 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 1 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 2 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 3 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 4 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 5 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 6 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 7 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 8 2893
evolution-algorithm_penalized_score knapPI_16_20_1000_4 1000 9 2893
hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1280
hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1200
hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1240
hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1200
hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1400
hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1320
hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1320
hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1440
hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 889
hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 872
hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 907
