Search_method Problem Max_evals Run Score
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 0 4317
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 1 4353
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 2 4295
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 3 4357
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 4 4391
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 5 4175
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 6 4376
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 7 4241
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 8 4528
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 9 4621
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 10 4180
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 11 4425
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 12 4411
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 13 4383
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 14 4384
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 15 4451
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 16 4174
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 17 4365
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 18 4356
evolution-algorithm_lexi_score knapPI_16_200_1000_1 1000 19 4345
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 0 6337
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 1 6283
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 2 6287
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 3 6166
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 4 6462
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 5 6533
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 6 6266
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 7 6329
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 8 6718
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 9 6284
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 10 6549
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 11 6516
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 12 6533
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 13 6475
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 14 6683
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 15 6540
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 16 6223
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 17 6698
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 18 6421
evolution-algorithm_lexi_score knapPI_16_200_1000_2 1000 19 6421
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 0 9228
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 1 8857
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 2 9366
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 3 9037
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 4 9162
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 5 9049
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 6 8722
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 7 8755
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 8 8816
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 9 8729
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 10 8725
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 11 8711
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 12 8875
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 13 8987
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 14 8977
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 15 8709
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 16 8716
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 17 9199
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 18 8746
evolution-algorithm_lexi_score knapPI_16_200_1000_3 1000 19 8930
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 0 10882
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 1 10725
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 2 11533
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 3 11535
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 4 10909
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 5 11080
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 6 11314
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 7 11177
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 8 11136
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 9 11234
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 10 10733
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 11 11380
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 12 11195
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 13 10827
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 14 11375
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 15 10957
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 16 11474
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 17 10816
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 18 10971
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 19 10805
hill_climber_lexi_score knapPI_16_200_1000_1 1000 0 3728
hill_climber_lexi_score knapPI_16_200_1000_1 1000 1 3929
hill_climber_lexi_score knapPI_16_200_1000_1 1000 2 4032
hill_climber_lexi_score knapPI_16_200_1000_1 1000 3 3591
hill_climber_lexi_score knapPI_16_200_1000_1 1000 4 3712
hill_climber_lexi_score knapPI_16_200_1000_1 1000 5 3665
hill_climber_lexi_score knapPI_16_200_1000_1 1000 6 3870
hill_climber_lexi_score knapPI_16_200_1000_1 1000 7 3764
hill_climber_lexi_score knapPI_16_200_1000_1 1000 8 3942
hill_climber_lexi_score knapPI_16_200_1000_1 1000 9 3524
hill_climber_lexi_score knapPI_16_200_1000_1 1000 10 3900
hill_climber_lexi_score knapPI_16_200_1000_1 1000 11 3636
hill_climber_lexi_score knapPI_16_200_1000_1 1000 12 3829
hill_climber_lexi_score knapPI_16_200_1000_1 1000 13 3557
hill_climber_lexi_score knapPI_16_200_1000_1 1000 14 3807
hill_climber_lexi_score knapPI_16_200_1000_1 1000 15 3860
hill_climber_lexi_score knapPI_16_200_1000_1 1000 16 3665
hill_climber_lexi_score knapPI_16_200_1000_1 1000 17 4042
hill_climber_lexi_score knapPI_16_200_1000_1 1000 18 3703
hill_climber_lexi_score knapPI_16_200_1000_1 1000 19 3730
hill_climber_lexi_score knapPI_16_200_1000_2 1000 0 5474
hill_climber_lexi_score knapPI_16_200_1000_2 1000 1 5639
hill_climber_lexi_score knapPI_16_200_1000_2 1000 2 5924
hill_climber_lexi_score knapPI_16_200_1000_2 1000 3 5730
hill_climber_lexi_score knapPI_16_200_1000_2 1000 4 5507
