Search_method Problem Max_evals Run Score
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 0 13667
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 1 13119
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 2 13810
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 3 13366
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 4 13191
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 5 13127
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 6 12955
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 7 13309
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 8 13377
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 9 13183
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 10 13490
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 11 13064
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 12 13106
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 13 13694
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 14 13484
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 15 13057
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 16 13021
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 17 13375
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 18 13463
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 19 13266
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 20 13593
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 21 13116
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 22 13229
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 23 12998
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 24 13253
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 25 13593
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 26 13336
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 27 13875
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 28 13148
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 29 12977
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 30 12810
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 31 13228
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 32 13472
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 33 13375
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 34 13491
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 35 13218
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 36 13064
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 37 13204
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 38 13495
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 39 13135
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 40 13146
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 41 13289
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 42 13065
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 43 13549
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 44 12931
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 45 13434
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 46 13666
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 47 13286
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 48 13321
evolution-algorithm_lexi_score knapPI_16_1000_1000_1 10000 49 12807
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 0 23219
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 1 23103
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 2 23056
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 3 22688
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 4 22958
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 5 22969
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 6 23425
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 7 22988
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 8 23797
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 9 22728
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 10 23276
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 11 22738
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 12 23133
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 13 23045
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 14 22863
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 15 23940
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 16 23137
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 17 23522
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 18 22916
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 19 22897
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 20 23203
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 21 22902
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 22 22649
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 23 22934
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 24 22653
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 25 23312
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 26 22562
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 27 22513
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 28 22923
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 29 23954
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 30 22951
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 31 23030
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 32 23212
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 33 23348
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 34 22684
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 35 22725
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 36 22807
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 37 22765
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 38 22690
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 39 22942
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 40 23125
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 41 22724
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 42 23348
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 43 22860
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 44 22900
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 45 22692
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 46 23401
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 47 23171
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 48 22730
evolution-algorithm_lexi_score knapPI_16_1000_1000_2 10000 49 23553
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 0 32351
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 1 32739
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 2 33457
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 3 31876
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 4 32323
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 5 31769
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 6 32112
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 7 32300
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 8 31945
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 9 31969
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 10 32100
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 11 32973
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 12 31916
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 13 32676
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 14 32360
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 15 31837
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 16 32217
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 17 32160
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 18 32160
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 19 32594
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 20 31851
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 21 32604
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 22 32459
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 23 31926
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 24 31916
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 25 31911
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 26 31640
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 27 32481
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 28 33230
evolution-algorithm_lexi_score knapPI_16_1000_1000_3 10000 29 31736
