Search_method Problem Max_evals Run Score
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 0 22152
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 1 20460
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 2 22746
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 3 22611
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 4 23560
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 5 21628
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 6 22114
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 7 22647
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 8 21805
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 9 22188
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 10 22679
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 11 22947
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 12 22853
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 13 23091
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 14 21127
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 15 21482
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 16 21169
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 17 22127
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 18 21640
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 19 22374
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 20 21618
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 21 23471
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 22 22769
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 23 22112
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 24 21710
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 25 21881
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 26 23555
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 27 22001
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 28 22460
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 29 21903
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 30 21512
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 31 23450
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 32 21827
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 33 21831
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 34 21407
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 35 22187
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 36 21774
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 37 20860
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 38 22765
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 39 22887
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 40 20157
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 41 23112
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 42 21981
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 43 23555
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 44 20774
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 45 22433
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 46 22782
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 47 23198
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 48 21956
evolution-algorithm_penalized_score knapPI_16_1000_1000_1 10000 49 24210
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 0 38035
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 1 39209
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 2 38518
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 3 39170
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 4 38714
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 5 38888
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 6 38269
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 7 38602
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 8 39065
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 9 38863
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 10 38808
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 11 38318
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 12 38935
evolution-algorithm_penalized_score knapPI_16_1000_1000_2 10000 13 37839
