Search_method Problem Max_evals Run Score
hill k_16_1000_1000_1 10000 0 12223
hill k_16_1000_1000_1 10000 1 12490
hill k_16_1000_1000_1 10000 2 12232
hill k_16_1000_1000_1 10000 3 12073
hill k_16_1000_1000_1 10000 4 11769
hill k_16_1000_1000_1 10000 5 12614
hill k_16_1000_1000_1 10000 6 11920
hill k_16_1000_1000_1 10000 7 12293
hill k_16_1000_1000_1 10000 8 12779
hill k_16_1000_1000_1 10000 9 11811
hill k_16_1000_1000_1 10000 10 12147
hill k_16_1000_1000_1 10000 11 12151
hill k_16_1000_1000_1 10000 12 11945
hill k_16_1000_1000_1 10000 13 11818
hill k_16_1000_1000_1 10000 14 12538
hill k_16_1000_1000_1 10000 15 11880
hill k_16_1000_1000_1 10000 16 12573
hill k_16_1000_1000_1 10000 17 11854
hill k_16_1000_1000_1 10000 18 12128
hill k_16_1000_1000_1 10000 19 13580
hill k_16_1000_1000_1 10000 20 12354
hill k_16_1000_1000_1 10000 21 11777
hill k_16_1000_1000_1 10000 22 11938
hill k_16_1000_1000_1 10000 23 11927
hill k_16_1000_1000_1 10000 24 12717
hill k_16_1000_1000_1 10000 25 12414
hill k_16_1000_1000_1 10000 26 12476
hill k_16_1000_1000_1 10000 27 12572
hill k_16_1000_1000_1 10000 28 12329
hill k_16_1000_1000_1 10000 29 12198
hill k_16_1000_1000_1 10000 30 12708
hill k_16_1000_1000_1 10000 31 12301
hill k_16_1000_1000_1 10000 32 12289
hill k_16_1000_1000_1 10000 33 12110
hill k_16_1000_1000_1 10000 34 11792
hill k_16_1000_1000_1 10000 35 12022
hill k_16_1000_1000_1 10000 36 12094
hill k_16_1000_1000_1 10000 37 11945
hill k_16_1000_1000_1 10000 38 12173
hill k_16_1000_1000_1 10000 39 11684
hill k_16_1000_1000_1 10000 40 12254
hill k_16_1000_1000_1 10000 41 12531
hill k_16_1000_1000_1 10000 42 12117
hill k_16_1000_1000_1 10000 43 12088
hill k_16_1000_1000_1 10000 44 13044
hill k_16_1000_1000_1 10000 45 12052
hill k_16_1000_1000_1 10000 46 12217
hill k_16_1000_1000_1 10000 47 12054
hill k_16_1000_1000_1 10000 48 11903
hill k_16_1000_1000_1 10000 49 12472
hill k_16_1000_1000_2 10000 0 21899
hill k_16_1000_1000_2 10000 1 21015
hill k_16_1000_1000_2 10000 2 21049
hill k_16_1000_1000_2 10000 3 21553
hill k_16_1000_1000_2 10000 4 20899
hill k_16_1000_1000_2 10000 5 21778
hill k_16_1000_1000_2 10000 6 21724
hill k_16_1000_1000_2 10000 7 21448
hill k_16_1000_1000_2 10000 8 21812
hill k_16_1000_1000_2 10000 9 21497
hill k_16_1000_1000_2 10000 10 21633
hill k_16_1000_1000_2 10000 11 21932
hill k_16_1000_1000_2 10000 12 21941
hill k_16_1000_1000_2 10000 13 22112
hill k_16_1000_1000_2 10000 14 21181
hill k_16_1000_1000_2 10000 15 21179
hill k_16_1000_1000_2 10000 16 22168
hill k_16_1000_1000_2 10000 17 20951
hill k_16_1000_1000_2 10000 18 21307
hill k_16_1000_1000_2 10000 19 21063
hill k_16_1000_1000_2 10000 20 21671
hill k_16_1000_1000_2 10000 21 21601
hill k_16_1000_1000_2 10000 22 22532
hill k_16_1000_1000_2 10000 23 21288
hill k_16_1000_1000_2 10000 24 21583
hill k_16_1000_1000_2 10000 25 21718
hill k_16_1000_1000_2 10000 26 21859
hill k_16_1000_1000_2 10000 27 21369
hill k_16_1000_1000_2 10000 28 22682
hill k_16_1000_1000_2 10000 29 21334
hill k_16_1000_1000_2 10000 30 21951
hill k_16_1000_1000_2 10000 31 22422
hill k_16_1000_1000_2 10000 32 21821
hill k_16_1000_1000_2 10000 33 21082
hill k_16_1000_1000_2 10000 34 21485
hill k_16_1000_1000_2 10000 35 21088
hill k_16_1000_1000_2 10000 36 20856
hill k_16_1000_1000_2 10000 37 21775
hill k_16_1000_1000_2 10000 38 21940
hill k_16_1000_1000_2 10000 39 21690
hill k_16_1000_1000_2 10000 40 21424
hill k_16_1000_1000_2 10000 41 21267
hill k_16_1000_1000_2 10000 42 21127
hill k_16_1000_1000_2 10000 43 22095
hill k_16_1000_1000_2 10000 44 21305
hill k_16_1000_1000_2 10000 45 21744
hill k_16_1000_1000_2 10000 46 21378
hill k_16_1000_1000_2 10000 47 21282
hill k_16_1000_1000_2 10000 48 21360
hill k_16_1000_1000_2 10000 49 20886
hill k_16_1000_1000_3 10000 0 31349
hill k_16_1000_1000_3 10000 1 29694
hill k_16_1000_1000_3 10000 2 30468
hill k_16_1000_1000_3 10000 3 30043
hill k_16_1000_1000_3 10000 4 30561
hill k_16_1000_1000_3 10000 5 30466
hill k_16_1000_1000_3 10000 6 30535
hill k_16_1000_1000_3 10000 7 30285
hill k_16_1000_1000_3 10000 8 30691
hill k_16_1000_1000_3 10000 9 30372
hill k_16_1000_1000_3 10000 10 30781
hill k_16_1000_1000_3 10000 11 30786
hill k_16_1000_1000_3 10000 12 30048
hill k_16_1000_1000_3 10000 13 30307
hill k_16_1000_1000_3 10000 14 29556
hill k_16_1000_1000_3 10000 15 30355
hill k_16_1000_1000_3 10000 16 29948
hill k_16_1000_1000_3 10000 17 30875
hill k_16_1000_1000_3 10000 18 29775
hill k_16_1000_1000_3 10000 19 29481
hill k_16_1000_1000_3 10000 20 29822
hill k_16_1000_1000_3 10000 21 29848
hill k_16_1000_1000_3 10000 22 30800
hill k_16_1000_1000_3 10000 23 30405
hill k_16_1000_1000_3 10000 24 29463
hill k_16_1000_1000_3 10000 25 30148
hill k_16_1000_1000_3 10000 26 30687
hill k_16_1000_1000_3 10000 27 29976
hill k_16_1000_1000_3 10000 28 30587
hill k_16_1000_1000_3 10000 29 30555
hill k_16_1000_1000_3 10000 30 30776
hill k_16_1000_1000_3 10000 31 29583
hill k_16_1000_1000_3 10000 32 30718
hill k_16_1000_1000_3 10000 33 30134
hill k_16_1000_1000_3 10000 34 31416
hill k_16_1000_1000_3 10000 35 29761
hill k_16_1000_1000_3 10000 36 30930
hill k_16_1000_1000_3 10000 37 30201
hill k_16_1000_1000_3 10000 38 30551
hill k_16_1000_1000_3 10000 39 29192
hill k_16_1000_1000_3 10000 40 30723
hill k_16_1000_1000_3 10000 41 30349
hill k_16_1000_1000_3 10000 42 30711
hill k_16_1000_1000_3 10000 43 30168
hill k_16_1000_1000_3 10000 44 31416
hill k_16_1000_1000_3 10000 45 30428
hill k_16_1000_1000_3 10000 46 30848
hill k_16_1000_1000_3 10000 47 29747
hill k_16_1000_1000_3 10000 48 30258
hill k_16_1000_1000_3 10000 49 29798
hill k_16_1000_1000_4 10000 0 39582
hill k_16_1000_1000_4 10000 1 38604
hill k_16_1000_1000_4 10000 2 38443
hill k_16_1000_1000_4 10000 3 38774
hill k_16_1000_1000_4 10000 4 38680
hill k_16_1000_1000_4 10000 5 39696
hill k_16_1000_1000_4 10000 6 40412
hill k_16_1000_1000_4 10000 7 39047
hill k_16_1000_1000_4 10000 8 39283
hill k_16_1000_1000_4 10000 9 38475
hill k_16_1000_1000_4 10000 10 38596
hill k_16_1000_1000_4 10000 11 40054
hill k_16_1000_1000_4 10000 12 40090
hill k_16_1000_1000_4 10000 13 39297
hill k_16_1000_1000_4 10000 14 39782
hill k_16_1000_1000_4 10000 15 38381
hill k_16_1000_1000_4 10000 16 38838
hill k_16_1000_1000_4 10000 17 39314
hill k_16_1000_1000_4 10000 18 38734
hill k_16_1000_1000_4 10000 19 38899
hill k_16_1000_1000_4 10000 20 40237
hill k_16_1000_1000_4 10000 21 39359
hill k_16_1000_1000_4 10000 22 39240
hill k_16_1000_1000_4 10000 23 39952
hill k_16_1000_1000_4 10000 24 38890
hill k_16_1000_1000_4 10000 25 38579
hill k_16_1000_1000_4 10000 26 38333
hill k_16_1000_1000_4 10000 27 39600
hill k_16_1000_1000_4 10000 28 39302
hill k_16_1000_1000_4 10000 29 38482
hill k_16_1000_1000_4 10000 30 38507
hill k_16_1000_1000_4 10000 31 38735
hill k_16_1000_1000_4 10000 32 39621
hill k_16_1000_1000_4 10000 33 38254
hill k_16_1000_1000_4 10000 34 38927
hill k_16_1000_1000_4 10000 35 39746
hill k_16_1000_1000_4 10000 36 38447
hill k_16_1000_1000_4 10000 37 39510
hill k_16_1000_1000_4 10000 38 39457
hill k_16_1000_1000_4 10000 39 39533
hill k_16_1000_1000_4 10000 40 39405
hill k_16_1000_1000_4 10000 41 39096
hill k_16_1000_1000_4 10000 42 38744
hill k_16_1000_1000_4 10000 43 39531
hill k_16_1000_1000_4 10000 44 39949
hill k_16_1000_1000_4 10000 45 39125
hill k_16_1000_1000_4 10000 46 39444
hill k_16_1000_1000_4 10000 47 38336
hill k_16_1000_1000_4 10000 48 38736
hill k_16_1000_1000_4 10000 49 39088
hill k_16_1000_1000_5 10000 0 49247
hill k_16_1000_1000_5 10000 1 47657
hill k_16_1000_1000_5 10000 2 49034
hill k_16_1000_1000_5 10000 3 48412
hill k_16_1000_1000_5 10000 4 48685
hill k_16_1000_1000_5 10000 5 47783
hill k_16_1000_1000_5 10000 6 48821
hill k_16_1000_1000_5 10000 7 48574
hill k_16_1000_1000_5 10000 8 48398
hill k_16_1000_1000_5 10000 9 48905
hill k_16_1000_1000_5 10000 10 48531
hill k_16_1000_1000_5 10000 11 48289
hill k_16_1000_1000_5 10000 12 48183
hill k_16_1000_1000_5 10000 13 50094
hill k_16_1000_1000_5 10000 14 48419
hill k_16_1000_1000_5 10000 15 48729
hill k_16_1000_1000_5 10000 16 48891
hill k_16_1000_1000_5 10000 17 48854
hill k_16_1000_1000_5 10000 18 49028
hill k_16_1000_1000_5 10000 19 48368
hill k_16_1000_1000_5 10000 20 47849
hill k_16_1000_1000_5 10000 21 49252
hill k_16_1000_1000_5 10000 22 47745
hill k_16_1000_1000_5 10000 23 47433
hill k_16_1000_1000_5 10000 24 48546
hill k_16_1000_1000_5 10000 25 49440
hill k_16_1000_1000_5 10000 26 49648
hill k_16_1000_1000_5 10000 27 47549
hill k_16_1000_1000_5 10000 28 49097
hill k_16_1000_1000_5 10000 29 48059
hill k_16_1000_1000_5 10000 30 48058
hill k_16_1000_1000_5 10000 31 47876
hill k_16_1000_1000_5 10000 32 47676
hill k_16_1000_1000_5 10000 33 49463
hill k_16_1000_1000_5 10000 34 48002
hill k_16_1000_1000_5 10000 35 48760
hill k_16_1000_1000_5 10000 36 48629
hill k_16_1000_1000_5 10000 37 47982
hill k_16_1000_1000_5 10000 38 48888
hill k_16_1000_1000_5 10000 39 48731
hill k_16_1000_1000_5 10000 40 49682
hill k_16_1000_1000_5 10000 41 49890
hill k_16_1000_1000_5 10000 42 49243
hill k_16_1000_1000_5 10000 43 49298
hill k_16_1000_1000_5 10000 44 48129
hill k_16_1000_1000_5 10000 45 49081
hill k_16_1000_1000_5 10000 46 47417
hill k_16_1000_1000_5 10000 47 49321
hill k_16_1000_1000_5 10000 48 48559
hill k_16_1000_1000_5 10000 49 48801
