Search_method Problem Max_evals Run Score
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 0 14040
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 1 13415
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 2 12291
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 3 12291
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 4 13770
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 5 13465
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 6 13765
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 7 11851
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 8 11426
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 9 13530
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 10 13271
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 11 13099
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 12 12524
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 13 11372
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 14 15359
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 15 12888
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 16 14169
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 17 13204
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 18 13465
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 19 11509
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 20 13123
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 21 11162
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 22 11836
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 23 13457
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 24 13052
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 25 12036
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 26 12573
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 27 12872
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 28 10989
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 29 13296
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 30 11869
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 31 13843
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 32 12199
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 33 12981
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 34 13610
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 35 12848
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 36 12622
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 37 11110
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 38 12889
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 39 12707
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 40 12980
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 41 14159
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 42 12487
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 43 13586
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 44 11983
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 45 11299
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 46 12421
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 47 12894
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 48 13367
hill_climber_penalized_score knapPI_16_1000_1000_1 10000 49 15186
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 0 19889
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 1 25631
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 2 26119
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 3 25008
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 4 24119
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 5 25415
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 6 22363
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 7 24913
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 8 23182
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 9 24684
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 10 24727
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 11 26743
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 12 23925
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 13 22707
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 14 22774
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 15 24245
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 16 23091
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 17 22666
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 18 23105
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 19 25730
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 20 23640
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 21 22149
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 22 24269
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 23 22228
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 24 23413
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 25 21338
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 26 22505
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 27 22133
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 28 26021
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 29 24880
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 30 22360
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 31 23352
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 32 22911
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 33 26766
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 34 23151
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 35 24330
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 36 22908
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 37 23306
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 38 22685
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 39 24103
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 40 24879
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 41 24405
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 42 24694
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 43 26244
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 44 27303
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 45 24427
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 46 21780
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 47 20750
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 48 22812
hill_climber_penalized_score knapPI_16_1000_1000_2 10000 49 24033
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 0 37273
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 1 31890
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 2 33957
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 3 34315
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 4 32539
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 5 32601
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 6 33534
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 7 40359
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 8 31623
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 9 36907
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 10 32287
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 11 35505
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 12 33206
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 13 36250
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 14 32934
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 15 32652
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 16 35703
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 17 35181
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 18 36076
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 19 37569
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 20 34829
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 21 34630
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 22 30907
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 23 35058
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 24 33242
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 25 33688
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 26 36121
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 27 34148
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 28 36563
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 29 36719
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 30 34467
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 31 32822
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 32 33657
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 33 32227
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 34 35092
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 35 35907
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 36 34153
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 37 34558
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 38 34638
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 39 31109
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 40 35170
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 41 32702
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 42 34729
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 43 33728
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 44 33698
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 45 35324
hill_climber_penalized_score knapPI_16_1000_1000_3 10000 46 37912
