Search_method Problem Max_evals Run Score
evolution-algorithm_lexi_score knapPI_11_20_1000_4 1000 0 1440
evolution-algorithm_lexi_score knapPI_11_20_1000_4 1000 1 1440
evolution-algorithm_lexi_score knapPI_11_20_1000_4 1000 2 1440
evolution-algorithm_lexi_score knapPI_11_20_1000_4 1000 3 1440
evolution-algorithm_lexi_score knapPI_11_20_1000_4 1000 4 1440
evolution-algorithm_lexi_score knapPI_13_20_1000_4 1000 0 907
evolution-algorithm_lexi_score knapPI_13_20_1000_4 1000 1 907
evolution-algorithm_lexi_score knapPI_13_20_1000_4 1000 2 907
evolution-algorithm_lexi_score knapPI_13_20_1000_4 1000 3 907
evolution-algorithm_lexi_score knapPI_13_20_1000_4 1000 4 907
evolution-algorithm_lexi_score knapPI_16_20_1000_4 1000 0 2893
evolution-algorithm_lexi_score knapPI_16_20_1000_4 1000 1 2893
evolution-algorithm_lexi_score knapPI_16_20_1000_4 1000 2 2893
evolution-algorithm_lexi_score knapPI_16_20_1000_4 1000 3 2893
evolution-algorithm_lexi_score knapPI_16_20_1000_4 1000 4 2893
evolution-algorithm_lexi_score knapPI_11_200_1000_4 1000 0 5180
evolution-algorithm_lexi_score knapPI_11_200_1000_4 1000 1 5180
evolution-algorithm_lexi_score knapPI_11_200_1000_4 1000 2 5180
evolution-algorithm_lexi_score knapPI_11_200_1000_4 1000 3 5180
evolution-algorithm_lexi_score knapPI_11_200_1000_4 1000 4 5180
evolution-algorithm_lexi_score knapPI_13_200_1000_4 1000 0 3680
evolution-algorithm_lexi_score knapPI_13_200_1000_4 1000 1 3680
evolution-algorithm_lexi_score knapPI_13_200_1000_4 1000 2 3680
evolution-algorithm_lexi_score knapPI_13_200_1000_4 1000 3 3680
evolution-algorithm_lexi_score knapPI_13_200_1000_4 1000 4 3680
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 0 10655
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 1 10762
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 2 11156
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 3 11151
evolution-algorithm_lexi_score knapPI_16_200_1000_4 1000 4 11669
hill_climber_lexi_score knapPI_11_20_1000_4 1000 0 1440
hill_climber_lexi_score knapPI_11_20_1000_4 1000 1 1440
hill_climber_lexi_score knapPI_11_20_1000_4 1000 2 1440
hill_climber_lexi_score knapPI_11_20_1000_4 1000 3 1440
hill_climber_lexi_score knapPI_11_20_1000_4 1000 4 1440
hill_climber_lexi_score knapPI_13_20_1000_4 1000 0 907
hill_climber_lexi_score knapPI_13_20_1000_4 1000 1 907
hill_climber_lexi_score knapPI_13_20_1000_4 1000 2 907
hill_climber_lexi_score knapPI_13_20_1000_4 1000 3 907
hill_climber_lexi_score knapPI_13_20_1000_4 1000 4 907
hill_climber_lexi_score knapPI_16_20_1000_4 1000 0 2893
hill_climber_lexi_score knapPI_16_20_1000_4 1000 1 2893
hill_climber_lexi_score knapPI_16_20_1000_4 1000 2 2893
hill_climber_lexi_score knapPI_16_20_1000_4 1000 3 2593
hill_climber_lexi_score knapPI_16_20_1000_4 1000 4 2893
hill_climber_lexi_score knapPI_11_200_1000_4 1000 0 5180
hill_climber_lexi_score knapPI_11_200_1000_4 1000 1 5180
hill_climber_lexi_score knapPI_11_200_1000_4 1000 2 5180
hill_climber_lexi_score knapPI_11_200_1000_4 1000 3 5180
hill_climber_lexi_score knapPI_11_200_1000_4 1000 4 5180
hill_climber_lexi_score knapPI_13_200_1000_4 1000 0 3680
hill_climber_lexi_score knapPI_13_200_1000_4 1000 1 3680
hill_climber_lexi_score knapPI_13_200_1000_4 1000 2 3680
hill_climber_lexi_score knapPI_13_200_1000_4 1000 3 3680
hill_climber_lexi_score knapPI_13_200_1000_4 1000 4 3663
hill_climber_lexi_score knapPI_16_200_1000_4 1000 0 9844
hill_climber_lexi_score knapPI_16_200_1000_4 1000 1 9770
hill_climber_lexi_score knapPI_16_200_1000_4 1000 2 9904
hill_climber_lexi_score knapPI_16_200_1000_4 1000 3 9691
hill_climber_lexi_score knapPI_16_200_1000_4 1000 4 9967
